wavelength	varian
581	1.702722907
580	1.677378416
579	1.641053438
578	1.595923901
577	1.55019474
576	1.508059144
575	1.461583376
574	1.401139736
573	1.308820844
572	1.174447417
571	0.9975423813
570	0.7955836058
569	0.6009747386
568	0.420758307
567	0.3114495575
566	0.2247761041
565	0.1680391431
564	0.1315299124
563	0.108407855
562	0.09360603243
561	0.08356708288
560	0.0766184479
559	0.07150034606
558	0.06812886149
557	0.06544335932
556	0.06355884671
555	0.06219868362
554	0.06127554551
553	0.06055599824
552	0.06035686657
551	0.06014626101
550	0.06031451002
549	0.06051600352
548	0.06129062921
547	0.06274801493
546	0.06513507664
545	0.06869675964
544	0.07384383678
543	0.08067298681
542	0.08960416913
541	0.100742653
540	0.1139658615
539	0.1292990446
538	0.1463613659
537	0.1653935313
536	0.1879477203
535	0.2148478329
534	0.248430863
533	0.2898610234
532	0.3406156003
531	0.4030909538
530	0.4781553745
529	0.5661178231
528	0.6632999182
527	0.7527304888
526	0.808371067
525	0.8095927238
524	0.7569108009
523	0.6676519513
522	0.5652196407
521	0.473377794
520	0.4071221352
519	0.3702937663
518	0.3578976095
517	0.3624215722
516	0.3801139593
515	0.4063844085
514	0.4346771538
513	0.4544940889
512	0.456610918
511	0.4372721016
510	0.4019220769
509	0.3583221436
508	0.3133582473
507	0.2727267742
506	0.2389910072
505	0.2122004181
504	0.1910893023
503	0.1743893027
502	0.1605179161
501	0.1485884488
500	0.1376061141
499	0.1277992576
498	0.1186520979
497	0.1106138453
496	0.103816092
495	0.09898196906
494	0.096182473
493	0.09615375847
492	0.09937343001
491	0.1060189456
490	0.1165729985
489	0.1315341592
488	0.1504766792
487	0.173542738
486	0.2012090832
485	0.2318142205
484	0.2609906197
483	0.280819416
482	0.2851176858
481	0.2770398855
480	0.2653304935
479	0.2601530552
478	0.2650448382
477	0.2769682705
476	0.2915773094
475	0.3076040745
474	0.3262665868
473	0.3432629108
472	0.3507557511
471	0.3458198011
470	0.3324916959
469	0.3182007074
468	0.3059389889
467	0.2968044877
466	0.2897106409
465	0.2844401002
464	0.2801122367
463	0.2755940557
462	0.2704273462
461	0.2650847435
460	0.259557873
459	0.2544567585
458	0.2500168979
457	0.2465587854
456	0.245569393
455	0.2477437854
454	0.2538517118
453	0.2643286586
452	0.2789489925
451	0.2968470454
450	0.3170720637
449	0.3363810778
448	0.3508065343
447	0.358710438
446	0.3611032367
445	0.3612276614
444	0.3615562618
443	0.360421896
442	0.3546925485
441	0.3422519863
440	0.3211901188
439	0.2935533226
438	0.2620462775
437	0.2303192317
436	0.2008172274
435	0.176410377
434	0.1597560197
433	0.1528462023
432	0.1572770476
431	0.1703438163
430	0.1724851876
429	0.1432687789
428	0.09783618897
427	0.06600429118
426	0.05293773487
425	0.04916189983
424	0.04890322685
423	0.04884175584
422	0.04800659418
421	0.04608531296
420	0.04460578039
419	0.04334937409
418	0.04203256965
417	0.04013185576
416	0.03803034499
415	0.03629697859
414	0.03497963399
413	0.03436724097
412	0.0338694565
411	0.03366445377
410	0.03345980123
409	0.03369751945
408	0.03394051641
407	0.0341604054
406	0.03434535861
405	0.03468319774
404	0.03495901078
403	0.03514071181
402	0.03549209237
401	0.03543818742
400	0.03555496037
399	0.03536418825
398	0.03530053049
397	0.03520355746
396	0.03547888994
395	0.03559154272
394	0.03622946888
393	0.03626354411
392	0.03638166562
391	0.03703380749
390	0.03757096455
389	0.03808527812
388	0.03861646727
387	0.04001197219
386	0.04190814123
385	0.0443148315
384	0.04736892879
383	0.0486371778
382	0.04762721062
381	0.04635858908
380	0.04554919899
379	0.04534510523
378	0.04555676132
377	0.04547529295
376	0.04608879611
375	0.04700284824
374	0.04778238386
373	0.04933836311
372	0.05088549852
371	0.05247257277
370	0.05454337597
369	0.05904605985
368	0.06859070808
367	0.07842534035
366	0.09722398967
365	0.1258723587
364	0.1715959907
363	0.234025538
362	0.3286537528
361	0.4589115381
360	0.6175368428
359	0.7783056498
358	0.8888822794
357	0.89025563
356	0.8114618659
355	0.7238045335
354	0.6785296202
353	0.6759134531
352	0.6946881413
351	0.7083588839
350	0.7053202987
349	0.6452969313
348	0.4691768289
347	0.3642994165
346	0.2826704085
345	0.2400134504
344	0.2231074423
343	0.2201873958
342	0.2222694159
341	0.2260492146
340	0.2314822525
339	0.2390175313
338	0.2496925145
337	0.2650521398
336	0.2844713926
335	0.3054371476
334	0.3254179358
333	0.3470806777
332	0.3644107282
331	0.378680855
330	0.3889108002
329	0.3960983753
328	0.3961934149
327	0.3937703371
326	0.3885495067
325	0.3807653189
324	0.3734914064
323	0.3687382936
322	0.3689511716
321	0.3717887402
320	0.3800344467
319	0.3905449808
318	0.4033482373
317	0.4160882533
316	0.429343015
315	0.4433086216
314	0.4559763074
313	0.4679543674
312	0.4817836881
311	0.4952821732
310	0.5079454184
309	0.5232733488
308	0.5421822071
307	0.5593525767
306	0.5764812827
305	0.593850553
304	0.6093167067
303	0.624974966
302	0.6361863613
301	0.6428016424
300	0.6467053294
